Parser Statistics
;Value
Filtered out rows count;1
Lost rows percentage;100.0
Original rows count;1

Statistical profile
;EnrollId;Username;CourseId;SessionId;Action;Object;DateTime;Truth
NumericResults;******;******;******;******;******;******;******;******
Count distinct;0;0;-;-;-;-;-;0
Count not null;0;0;-;-;-;-;-;0
Count null;0;0;-;-;-;-;-;0
Entropy;None;None;-;-;-;-;-;None
Number statistics;None;None;-;-;-;-;-;None
StringResults;******;******;******;******;******;******;******;******
Characters entropy;-;-;None;None;None;None;-;-
Count blank spaces statistics;-;-;None;None;None;None;-;-
Count distinct characters;-;-;0;0;0;0;-;-
Count distinct messages;-;-;0;0;0;0;-;-
Count distinct words;-;-;0;0;0;0;-;-
Count not null;-;-;0;0;0;0;-;-
Count null;-;-;0;0;0;0;-;-
Message length statistics;-;-;None;None;None;None;-;-
Messages entropy;-;-;None;None;None;None;-;-
Words entropy;-;-;None;None;None;None;-;-
Words length statistics;-;-;None;None;None;None;-;-
TimestampResults;******;******;******;******;******;******;******;******
Count distinct;-;-;-;-;-;-;0;-
Count not null;-;-;-;-;-;-;0;-
Count null;-;-;-;-;-;-;0;-
Delta time in seconds entropy;-;-;-;-;-;-;None;-
Delta time in seconds statistics;-;-;-;-;-;-;None;-
Newest date;-;-;-;-;-;-;None;-
Oldest date;-;-;-;-;-;-;None;-
Timestamp entropy;-;-;-;-;-;-;None;-

Table Results
;Value
Entropy;None

Execution call tracker
;Value
Application. emit columnar statistics;CallStatistics(execution_times=[datetime.timedelta(seconds=1, microseconds=243678)], call_count=1)
Numericprocessor.process;CallStatistics(execution_times=[datetime.timedelta(microseconds=110469), datetime.timedelta(microseconds=114095), datetime.timedelta(microseconds=105679)], call_count=3)
Statefulworkflowbreakercheckpointer.checkpoint;CallStatistics(execution_times=[datetime.timedelta(microseconds=239403)], call_count=1)
Stringprocessor.process;CallStatistics(execution_times=[datetime.timedelta(microseconds=113199), datetime.timedelta(microseconds=117221), datetime.timedelta(microseconds=114185), datetime.timedelta(microseconds=112701)], call_count=4)
Timestampprocessor.process;CallStatistics(execution_times=[datetime.timedelta(microseconds=109510)], call_count=1)
Tupleprocessor.process;CallStatistics(execution_times=[datetime.timedelta(microseconds=189)], call_count=1)

