Execution call tracker
;Value
Columnstatisticscalculator. calculate standard deviation;CallStatistics(execution_times=[datetime.timedelta(microseconds=5), datetime.timedelta(microseconds=3), datetime.timedelta(microseconds=5), datetime.timedelta(microseconds=3), datetime.timedelta(microseconds=3), datetime.timedelta(microseconds=4), datetime.timedelta(microseconds=3), datetime.timedelta(microseconds=6), datetime.timedelta(microseconds=4), datetime.timedelta(microseconds=5), datetime.timedelta(microseconds=4), datetime.timedelta(microseconds=3)], call_count=12)
Columnstatisticscalculator.calculate average count;CallStatistics(execution_times=[datetime.timedelta(microseconds=129827), datetime.timedelta(microseconds=198846), datetime.timedelta(microseconds=123214), datetime.timedelta(microseconds=127538), datetime.timedelta(microseconds=123940), datetime.timedelta(microseconds=157193), datetime.timedelta(microseconds=151792), datetime.timedelta(microseconds=105571), datetime.timedelta(microseconds=133825), datetime.timedelta(microseconds=106876), datetime.timedelta(microseconds=124198), datetime.timedelta(microseconds=135192)], call_count=12)
Columnstatisticscalculator.calculate entropy;CallStatistics(execution_times=[datetime.timedelta(microseconds=155770), datetime.timedelta(microseconds=147466), datetime.timedelta(microseconds=80429), datetime.timedelta(microseconds=115603), datetime.timedelta(microseconds=73109), datetime.timedelta(microseconds=116085), datetime.timedelta(microseconds=61605), datetime.timedelta(microseconds=60688), datetime.timedelta(microseconds=110134), datetime.timedelta(microseconds=78721), datetime.timedelta(microseconds=63587), datetime.timedelta(microseconds=103199), datetime.timedelta(microseconds=108890), datetime.timedelta(microseconds=115881)], call_count=14)
Columnstatisticscalculator.calculate min max;CallStatistics(execution_times=[datetime.timedelta(microseconds=342809), datetime.timedelta(microseconds=79049), datetime.timedelta(microseconds=181545), datetime.timedelta(microseconds=193503), datetime.timedelta(microseconds=128764), datetime.timedelta(microseconds=102681), datetime.timedelta(microseconds=101033), datetime.timedelta(microseconds=64491), datetime.timedelta(microseconds=144621), datetime.timedelta(microseconds=94360), datetime.timedelta(microseconds=147462), datetime.timedelta(microseconds=99849), datetime.timedelta(microseconds=111123)], call_count=13)
Columnstatisticscalculator.calculate number statistics;CallStatistics(execution_times=[datetime.timedelta(microseconds=680411), datetime.timedelta(microseconds=610163), datetime.timedelta(microseconds=462592), datetime.timedelta(microseconds=477581), datetime.timedelta(microseconds=348059), datetime.timedelta(microseconds=420757), datetime.timedelta(microseconds=400421), datetime.timedelta(microseconds=327555), datetime.timedelta(microseconds=434425), datetime.timedelta(microseconds=415763), datetime.timedelta(microseconds=397288), datetime.timedelta(microseconds=408320)], call_count=12)
Columnstatisticscalculator.calculate variance;CallStatistics(execution_times=[datetime.timedelta(microseconds=120440), datetime.timedelta(microseconds=148400), datetime.timedelta(microseconds=78764), datetime.timedelta(microseconds=144582), datetime.timedelta(microseconds=102429), datetime.timedelta(microseconds=101414), datetime.timedelta(microseconds=114594), datetime.timedelta(microseconds=58965), datetime.timedelta(microseconds=100815), datetime.timedelta(microseconds=95238), datetime.timedelta(microseconds=95597), datetime.timedelta(microseconds=100978)], call_count=12)
Numericprocessor. calculate distinct rows count;CallStatistics(execution_times=[datetime.timedelta(microseconds=143337), datetime.timedelta(microseconds=103328)], call_count=2)
Numericprocessor. calculate not null rows count;CallStatistics(execution_times=[datetime.timedelta(microseconds=66156), datetime.timedelta(microseconds=70279)], call_count=2)
Numericprocessor. calculate null rows count;CallStatistics(execution_times=[datetime.timedelta(microseconds=72384), datetime.timedelta(microseconds=23316)], call_count=2)
Numericprocessor.process;CallStatistics(execution_times=[datetime.timedelta(seconds=1, microseconds=22367), datetime.timedelta(microseconds=812715)], call_count=2)
